Composition,U(Sc),U(Ti),U(V),U(Cr),U(Mn),U(Fe),U(Co),U(Ni),U(Cu),U(Zn),SCAN+rvv10+U Total E (eV),Expt. Formation Energy 298.15K (eV),Notes
ScO,0.00,,,,,,,,,,-20.91259,-7.05,
ScO,0.50,,,,,,,,,,-20.65425,-7.05,
ScO,1.00,,,,,,,,,,-20.4004,-7.05,
ScO,1.50,,,,,,,,,,-20.15113,-7.05,
TiO,,1.50,,,,,,,,,-21.14188,-6.95,
TiO,,2.00,,,,,,,,,-20.40516,-6.95,
TiO,,2.50,,,,,,,,,-20.13341,-6.95,
TiO,,3.00,,,,,,,,,-19.86565,-6.95,
VO,,,0.00,,,,,,,,-22.6904,-6.7,
VO,,,0.50,,,,,,,,-22.36361,-6.7,
VO,,,1.00,,,,,,,,-22.0421,-6.7,
VO,,,1.50,,,,,,,,-21.7261,-6.7,
VO,,,2.00,,,,,,,,-21.41588,-6.7,
CrO,,,,0.00,,,,,,,-22.87891,-4.65,
CrO,,,,0.50,,,,,,,-22.75331,-4.65,
CrO,,,,1.00,,,,,,,-22.25823,-4.65,
CrO,,,,1.50,,,,,,,-22.19506,-4.65,
MnO,,,,,1.50,,,,,,-22.71628,-3.9,
MnO,,,,,2.00,,,,,,-22.50549,-3.9,
MnO,,,,,2.50,,,,,,-22.30562,-3.9,
MnO,,,,,3.00,,,,,,-22.11802,-3.9,
FeO,,,,,,2.00,,,,,-20.35917,-4.25,
FeO,,,,,,2.50,,,,,-20.14092,-4.25,
FeO,,,,,,3.00,,,,,-19.92567,-4.25,
FeO,,,,,,3.50,,,,,-19.71345,-4.25,
CuO,,,,,,,,,0.00,,-17.69093,-3,
CuO,,,,,,,,,0.50,,-17.46334,-3,
CuO,,,,,,,,,1.00,,-17.23915,-3,
CuO,,,,,,,,,1.50,,-17.01843,-3,
