Composition,U(Sc),U(Ti),U(V),U(Cr),U(Mn),U(Fe),U(Co),U(Ni),U(Cu),U(Zn),SCAN+rvv10+U Total E (eV),Energy per S (ev),Calc. Formation Energy (eV),Expt. Formation Energy 298.15K per O2 (eV),Expt. Formation Energy 298.15K (eV),Expt. Formation Energy 0K per O2 (eV),Expt. Formation Energy 0K (eV),Notes,Ref Expt.
,,,,,,,,,,,,,,,,,,,
Ni3S2,,,,,,,,0,,,-15.9143,-7.95715,-2.324430625,,-2.218536181,,,,
Ni3S2,,,,,,,,0.1,,,-15.68755,-7.843775,-2.097680625,,-2.218536181,,,,https://watermark.silverchair.com/am62_341.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAsUwggLBBgkqhkiG9w0BBwagggKyMIICrgIBADCCAqcGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMX1EDaIAKwpSNibpEAgEQgIICeOwt4EOLDf7uoH5cbGoGGCK_xEV-nbCbYRuWJ2pztuMAo9NXMpKZivJiVeQOi5uhFk5Yk9A8k2ANyBomq0Usa1iFL-XCZshX_zPvN8W8qf1edLXnUECWrXu6caouwYfqywB2x_AJ7rg2zw4f_MiGC6eVGANtDQQh5qeXK8vAy6RQ-eXLaRaVS7qeBcAmuLncX_4UXQ0HxnDmhNmOHlQRIyHphlXY67Byxxb4UB4XIfB7cfqq4Q9TexLGfJ0owhA0tlr09Wuq6iYcizCX72x5toOnPosab-mWm18Kg4vSxGK68h1Y2xjb4hgiJK_oFT0WO572FFgcXau20YqV0dRuCVMQ2ZryhT4cLkXZclmaRW0NwE5NDYNy8uEYl64zr-uE0YpkCebfk9dBE5eKP6C_lgzG7oUZj4kLJbPS0ZfuoKDvotCYDC6JwwQ9kQnsyKHFN1Ic7mnKY-jtmx23jCdMJnKBFYrDy3pkFCRMApGQNpdZNjE3kjt-xJ4Th5k2LeYGpCBuagKXaFylCNRbOlrOlBpf3PPdbJuQ0k5VFLzhaIaIguvWdT2BIeSfq3zlBaxiFA5Al-f_wEHbONxgCZUwAyghDOxeBPSxLKviycgIErh6ZasmlaSCiW9PV037urH6m8lRKYDy_l9CuMjG0CugPgKML05MNwWR35gYtabyyxzXGIGDGOFZWtDnrnyWAV1dWJ4_XAKrrJoeMYeI82VbjXQcazv1c9BlkTYtHx3R6MY-5d0LsLfKWYKqLuaeONpKnLCzyHFlupC6J1ecKhRyk3jHauGQMcFCpodSj116THrT7qCORUomO6UGksseH4bv22NtujWtDZtu
Ni3S2,,,,,,,,0.5,,,-14.78435,-7.392175,-1.194480625,,-2.218536181,,,,https://watermark.silverchair.com/am62_341.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAsUwggLBBgkqhkiG9w0BBwagggKyMIICrgIBADCCAqcGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMX1EDaIAKwpSNibpEAgEQgIICeOwt4EOLDf7uoH5cbGoGGCK_xEV-nbCbYRuWJ2pztuMAo9NXMpKZivJiVeQOi5uhFk5Yk9A8k2ANyBomq0Usa1iFL-XCZshX_zPvN8W8qf1edLXnUECWrXu6caouwYfqywB2x_AJ7rg2zw4f_MiGC6eVGANtDQQh5qeXK8vAy6RQ-eXLaRaVS7qeBcAmuLncX_4UXQ0HxnDmhNmOHlQRIyHphlXY67Byxxb4UB4XIfB7cfqq4Q9TexLGfJ0owhA0tlr09Wuq6iYcizCX72x5toOnPosab-mWm18Kg4vSxGK68h1Y2xjb4hgiJK_oFT0WO572FFgcXau20YqV0dRuCVMQ2ZryhT4cLkXZclmaRW0NwE5NDYNy8uEYl64zr-uE0YpkCebfk9dBE5eKP6C_lgzG7oUZj4kLJbPS0ZfuoKDvotCYDC6JwwQ9kQnsyKHFN1Ic7mnKY-jtmx23jCdMJnKBFYrDy3pkFCRMApGQNpdZNjE3kjt-xJ4Th5k2LeYGpCBuagKXaFylCNRbOlrOlBpf3PPdbJuQ0k5VFLzhaIaIguvWdT2BIeSfq3zlBaxiFA5Al-f_wEHbONxgCZUwAyghDOxeBPSxLKviycgIErh6ZasmlaSCiW9PV037urH6m8lRKYDy_l9CuMjG0CugPgKML05MNwWR35gYtabyyxzXGIGDGOFZWtDnrnyWAV1dWJ4_XAKrrJoeMYeI82VbjXQcazv1c9BlkTYtHx3R6MY-5d0LsLfKWYKqLuaeONpKnLCzyHFlupC6J1ecKhRyk3jHauGQMcFCpodSj116THrT7qCORUomO6UGksseH4bv22NtujWtDZtu
Ni3S2,,,,,,,,1,,,-13.66409,-6.832045,-0.074220625,,-2.218536181,,,,https://watermark.silverchair.com/am62_341.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAsUwggLBBgkqhkiG9w0BBwagggKyMIICrgIBADCCAqcGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMX1EDaIAKwpSNibpEAgEQgIICeOwt4EOLDf7uoH5cbGoGGCK_xEV-nbCbYRuWJ2pztuMAo9NXMpKZivJiVeQOi5uhFk5Yk9A8k2ANyBomq0Usa1iFL-XCZshX_zPvN8W8qf1edLXnUECWrXu6caouwYfqywB2x_AJ7rg2zw4f_MiGC6eVGANtDQQh5qeXK8vAy6RQ-eXLaRaVS7qeBcAmuLncX_4UXQ0HxnDmhNmOHlQRIyHphlXY67Byxxb4UB4XIfB7cfqq4Q9TexLGfJ0owhA0tlr09Wuq6iYcizCX72x5toOnPosab-mWm18Kg4vSxGK68h1Y2xjb4hgiJK_oFT0WO572FFgcXau20YqV0dRuCVMQ2ZryhT4cLkXZclmaRW0NwE5NDYNy8uEYl64zr-uE0YpkCebfk9dBE5eKP6C_lgzG7oUZj4kLJbPS0ZfuoKDvotCYDC6JwwQ9kQnsyKHFN1Ic7mnKY-jtmx23jCdMJnKBFYrDy3pkFCRMApGQNpdZNjE3kjt-xJ4Th5k2LeYGpCBuagKXaFylCNRbOlrOlBpf3PPdbJuQ0k5VFLzhaIaIguvWdT2BIeSfq3zlBaxiFA5Al-f_wEHbONxgCZUwAyghDOxeBPSxLKviycgIErh6ZasmlaSCiW9PV037urH6m8lRKYDy_l9CuMjG0CugPgKML05MNwWR35gYtabyyxzXGIGDGOFZWtDnrnyWAV1dWJ4_XAKrrJoeMYeI82VbjXQcazv1c9BlkTYtHx3R6MY-5d0LsLfKWYKqLuaeONpKnLCzyHFlupC6J1ecKhRyk3jHauGQMcFCpodSj116THrT7qCORUomO6UGksseH4bv22NtujWtDZtu
Ni3S2,,,,,,,,1.5,,,-12.55372,-6.27686,1.036149375,,-2.218536181,,,,https://watermark.silverchair.com/am62_341.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAsUwggLBBgkqhkiG9w0BBwagggKyMIICrgIBADCCAqcGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMX1EDaIAKwpSNibpEAgEQgIICeOwt4EOLDf7uoH5cbGoGGCK_xEV-nbCbYRuWJ2pztuMAo9NXMpKZivJiVeQOi5uhFk5Yk9A8k2ANyBomq0Usa1iFL-XCZshX_zPvN8W8qf1edLXnUECWrXu6caouwYfqywB2x_AJ7rg2zw4f_MiGC6eVGANtDQQh5qeXK8vAy6RQ-eXLaRaVS7qeBcAmuLncX_4UXQ0HxnDmhNmOHlQRIyHphlXY67Byxxb4UB4XIfB7cfqq4Q9TexLGfJ0owhA0tlr09Wuq6iYcizCX72x5toOnPosab-mWm18Kg4vSxGK68h1Y2xjb4hgiJK_oFT0WO572FFgcXau20YqV0dRuCVMQ2ZryhT4cLkXZclmaRW0NwE5NDYNy8uEYl64zr-uE0YpkCebfk9dBE5eKP6C_lgzG7oUZj4kLJbPS0ZfuoKDvotCYDC6JwwQ9kQnsyKHFN1Ic7mnKY-jtmx23jCdMJnKBFYrDy3pkFCRMApGQNpdZNjE3kjt-xJ4Th5k2LeYGpCBuagKXaFylCNRbOlrOlBpf3PPdbJuQ0k5VFLzhaIaIguvWdT2BIeSfq3zlBaxiFA5Al-f_wEHbONxgCZUwAyghDOxeBPSxLKviycgIErh6ZasmlaSCiW9PV037urH6m8lRKYDy_l9CuMjG0CugPgKML05MNwWR35gYtabyyxzXGIGDGOFZWtDnrnyWAV1dWJ4_XAKrrJoeMYeI82VbjXQcazv1c9BlkTYtHx3R6MY-5d0LsLfKWYKqLuaeONpKnLCzyHFlupC6J1ecKhRyk3jHauGQMcFCpodSj116THrT7qCORUomO6UGksseH4bv22NtujWtDZtu
Ni3S4,,,,,,,,0.1,,,-23.144335,-5.78608375,-3.24526625,,-2.844702467,,,,OQMD
Ni3S4,,,,,,,,0.5,,,-22.24201,-5.5605025,-2.34294125,,-2.844702467,,,,OQMD
Ni3S4,,,,,,,,1,,,-21.122975,-5.28074375,-1.22390625,,-2.844702467,,,,OQMD
Ni3S4,,,,,,,,1.5,,,-20.013775,-5.00344375,-0.11470625,,-2.844702467,,,,OQMD
NiS2,,,,,,,,0.1,,,-9.96803,-4.984015,-1.231940625,,-1.224341696,,,,OQMD
NiS2,,,,,,,,0.5,,,-9.674745,-4.8373725,-0.938655625,,-1.224341696,,,,OQMD
NiS2,,,,,,,,1,,,-9.3210975,-4.66054875,-0.585008125,,-1.224341696,,,,OQMD
NiS2,,,,,,,,1.5,,,-8.98112,-4.49056,-0.245030625,,-1.224341696,,,,OQMD
NiS,,,,,,,,0,,,-6.583203333,-6.583203333,-1.001713646,,-0.9029649596,,,,
NiS,,,,,,,,0.1,,,-6.508963333,-6.508963333,-0.9274736458,,-0.9029649596,,,,OQMD
